codigo,tipo,nombre,direccion,comuna_codigo,comuna,region_codigo,region,servicio_salud,dependencia
110485,PSR,Posta de Salud Rural Loica,Calle Aldea Loica,13505,San Pedro,13,Metropolitana de Santiago,Servicio de Salud Metropolitano Occidente,Municipal
126412,PSR,Posta de Salud Rural Cameron,Otro Caserío de Camerón,12303,Timaukel,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126414,PSR,Posta de Salud Rural Agua Fresca,Otro Caserío de Agua Fresca,12101,Punta Arenas,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
200311,CECOSF,CECOSF FORTALECIENDO VIDAS,Calle Linao 370,12101,Punta Arenas,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126606,COSAM,COSAM Punta Arenas,Calle Junta de Gobierno 225,12101,Punta Arenas,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126301,CESFAM,Centro de Salud Familiar Dr. Juan Damianovic,Calle Zenteno 1102,12101,Punta Arenas,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126302,CESFAM,Centro de Salud Familiar 18 Septiembre,Calle Mateo de Toro y Zambrano 1893,12101,Punta Arenas,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126304,CESFAM,Centro de Salud Familiar Carlos Ibáñez,Avenida Eduardo Frei,12101,Punta Arenas,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126303,CESFAM,Centro de Salud Familiar Dr. Thomas Fenton,Calle Prolongación Velastegui 762,12101,Punta Arenas,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126300,CESFAM,Centro de Salud Familiar Dr. Mateo Bencur,Calle Capitán Guillermo 781,12101,Punta Arenas,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126700,CECOSF,CECOSF  Sandra Vargas,Calle Juan Ruiz García 1814,12101,Punta Arenas,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126701,CECOSF,Centro Comunitario de Salud Familiar Río Seco,Calle Sector Río Seco,12101,Punta Arenas,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126402,PSR,Posta de Salud Rural Germán Saldivia Teneb,Calle Caserío de Río Verde,12103,Río Verde,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126403,PSR,Posta de Atención Primaria Fernando Ampuero Cheuquel,Calle Caserío de Villa Tehuenches,12102,Laguna Blanca,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126404,PSR,Posta de Salud Rural Punta Delgada,Calle Sector Punta Delgada,12104,San Gregorio,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126305,CESFAM,Centro de Salud Familiar Natales,Calle Javiera Carrera,12401,Natales,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126413,PSR,Posta de Salud Rural Dorotea,Calle Caserío de Villa Dorotea,12401,Natales,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126400,PSR,Posta de Salud Rural Cerro Castillo (Torres del Paine),Calle Caserío de Cerro Castillo,12402,Torres del Paine,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
126410,PSR,Posta de Salud Rural Puerto Edén,Calle Caserío de Villa Puerto Edén,12401,Natales,12,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,Municipal
125425,PSR,Posta de Salud Rural Villa O'Higgins,Calle Aldea de O'Higgins,11302,O'Higgins,11,Aysén del General Carlos Ibañez del Campo,Servicio de Salud Aysén,Servicio de Salud
125428,PSR,Posta de Salud Rural Caleta Tortel,Calle Aldea de Tortel,11303,Tortel,11,Aysén del General Carlos Ibañez del Campo,Servicio de Salud Aysén,Servicio de Salud
125409,PSR,Posta de Salud Rural Puerto Bertrand,Calle Caserío de Puerto Bertrand,11401,Chile Chico,11,Aysén del General Carlos Ibañez del Campo,Servicio de Salud Aysén,Servicio de Salud
125410,PSR,Posta de Salud Rural Bernardita Zuñiga Vargas,Calle Aldea de Puerto Guadal,11401,Chile Chico,11,Aysén del General Carlos Ibañez del Campo,Servicio de Salud Aysén,Servicio de Salud
125411,PSR,Posta de Salud Rural Mallín Grande,Calle Caserío de Mallín Grande,11401,Chile Chico,11,Aysén del General Carlos Ibañez del Campo,Servicio de Salud Aysén,Servicio de Salud
125412,PSR,Posta de Salud Rural Río Tranquilo,Calle Aldea de Río Tranquilo,11402,Río Ibáñez,11,Aysén del General Carlos Ibañez del Campo,Servicio de Salud Aysén,Servicio de Salud
125408,PSR,Posta de Salud Rural Puerto Sánchez,Calle Caserío de Puerto Sánchez,11402,Río Ibáñez,11,Aysén del General Carlos Ibañez del Campo,Servicio de Salud Aysén,Servicio de Salud
